,cue,association,explanation,relation,source
14853,blender,points,a blender usually has 4 moderately sharp points,partof,fillin
14854,blender,corners,a blender usually has 4 moderately sharp corners,partof,fillin
14855,blender,ends,a blender usually has 4 moderately sharp ends,partof,fillin
14856,blender,tips,a blender usually has 4 moderately sharp tips,partof,fillin
14857,blender,angles,a blender usually has 4 moderately sharp angles,partof,fillin
14858,blender,sides,a blender usually has 4 moderately sharp sides,partof,fillin
14859,bullet,crater,a bullet creates a crater if it hits an animal or a person.,result-in,fillin
14860,bullet,hazard,a bullet creates a hazard if it hits an animal or a person.,result-in,fillin
14861,bullet,problem,a bullet creates a problem if it hits an animal or a person.,result-in,fillin
14862,bullet,shock,a bullet creates a shock if it hits an animal or a person.,result-in,fillin
14863,bullet,concussion,a bullet creates a concussion if it hits an animal or a person.,result-in,fillin
14864,bullet,hole,a bullet creates a hole if it hits an animal or a person.,result-in,fillin
14865,bullet,distraction,a bullet creates a distraction if it hits an animal or a person.,result-in,fillin
14866,bullet,shield,a bullet creates a shield if it hits an animal or a person.,result-in,fillin
14867,bullet,tsunami,a bullet creates a tsunami if it hits an animal or a person.,result-in,fillin
14868,bullet,barrier,a bullet creates a barrier if it hits an animal or a person.,result-in,fillin
14869,bullet,hazard,a bullet creates a hazard if it hits an animal or a person,result-in,fillin
14870,bullet,result,a bullet creates a result if it hits an animal or a person,result-in,fillin
14871,bullet,problem,a bullet creates a problem if it hits an animal or a person,result-in,fillin
14872,bullet,situation,a bullet creates a situation if it hits an animal or a person,result-in,fillin
14873,bullet,point,a bullet creates a point if it hits an animal or a person,result-in,fillin
14874,bullet,loop,a bullet creates a loop if it hits an animal or a person,result-in,fillin
14875,bullet,collision,a bullet creates a collision if it hits an animal or a person,result-in,fillin
14876,bullet,threat,a bullet creates a threat if it hits an animal or a person,result-in,fillin
14877,bullet,effect,a bullet creates a effect if it hits an animal or a person,result-in,fillin
14878,bullet,stupid,getting shot with a bullet was stupid.,result-in,fillin
14879,bullet,easy,getting shot with a bullet was easy.,result-in,fillin
14880,bullet,worse,getting shot with a bullet was worse.,result-in,fillin
14881,bullet,different,getting shot with a bullet was different.,result-in,fillin
14882,bullet,bad,getting shot with a bullet was bad.,result-in,fillin
14883,bullet,dangerous,getting shot with a bullet was dangerous.,result-in,fillin
14884,bullet,hell,getting shot with a bullet was hell.,result-in,fillin
14885,bullet,hard,getting shot with a bullet was hard.,result-in,fillin
14886,bullet,fun,getting shot with a bullet was fun.,result-in,fillin
14887,bullet,possible,getting shot with a bullet was possible,result-in,fillin
14888,bullet,common,getting shot with a bullet was common,result-in,fillin
14889,bullet,accidental,getting shot with a bullet was accidental,result-in,fillin
14890,bullet,easy,getting shot with a bullet was easy,result-in,fillin
14891,bullet,different,getting shot with a bullet was different,result-in,fillin
14892,bullet,rare,getting shot with a bullet was rare,result-in,fillin
14893,bullet,intentional,getting shot with a bullet was intentional,result-in,fillin
14894,bullet,similar,getting shot with a bullet was similar,result-in,fillin
14895,bullet,difficult,getting shot with a bullet was difficult,result-in,fillin
14896,bullet,impossible,getting shot with a bullet was impossible,result-in,fillin
14897,camera,capture,the camera was able to capture the vibrant colors of her dress.,action,fillin
14898,camera,catch,the camera was able to catch the vibrant colors of her dress.,action,fillin
14899,camera,follow,the camera was able to follow the vibrant colors of her dress.,action,fillin
14900,camera,highlight,the camera was able to highlight the vibrant colors of her dress.,action,fillin
14901,camera,appreciate,the camera was able to appreciate the vibrant colors of her dress.,action,fillin
14902,camera,photograph,the camera was able to photograph the vibrant colors of her dress.,action,fillin
14903,camera,enjoy,the camera was able to enjoy the vibrant colors of her dress.,action,fillin
14904,camera,record,the camera was able to record the vibrant colors of her dress.,action,fillin
14905,camera,capture,the camera was able to capture the vibrant colors of her dress,action,fillin
14906,camera,catch,the camera was able to catch the vibrant colors of her dress,action,fillin
14907,camera,follow,the camera was able to follow the vibrant colors of her dress,action,fillin
14908,camera,highlight,the camera was able to highlight the vibrant colors of her dress,action,fillin
14909,camera,record,the camera was able to record the vibrant colors of her dress,action,fillin
14910,camera,match,the camera was able to match the vibrant colors of her dress,action,fillin
14911,camera,observe,the camera was able to observe the vibrant colors of her dress,action,fillin
14912,camera,photograph,the camera was able to photograph the vibrant colors of her dress,action,fillin
14913,champagne,smile,the champagne made the man smile.,result-in,fillin
14914,champagne,laugh,the champagne made the man laugh.,result-in,fillin
14915,champagne,dizzy,the champagne made the man dizzy.,result-in,fillin
14916,champagne,ill,the champagne made the man ill.,result-in,fillin
14917,champagne,shudder,the champagne made the man shudder.,result-in,fillin
14918,champagne,nervous,the champagne made the man nervous.,result-in,fillin
14919,champagne,cough,the champagne made the man cough.,result-in,fillin
14920,champagne,blush,the champagne made the man blush.,result-in,fillin
14921,champagne,sick,the champagne made the man sick.,result-in,fillin
14922,champagne,uncomfortable,the champagne made the man uncomfortable.,result-in,fillin
14923,champagne,happy,the champagne made the man happy,result-in,fillin
14924,champagne,drunk,the champagne made the man drunk,result-in,fillin
14925,champagne,sick,the champagne made the man sick,result-in,fillin
14926,champagne,drink,the champagne made the man drink,result-in,fillin
14927,champagne,ill,the champagne made the man ill,result-in,fillin
14928,champagne,jealous,the champagne made the man jealous,result-in,fillin
14929,champagne,better,the champagne made the man better,result-in,fillin
14930,champagne,stronger,the champagne made the man stronger,result-in,fillin
14931,champagne,laugh,the champagne made the man laugh,result-in,fillin
14932,champagne,thirsty,the champagne made the man thirsty,result-in,fillin
14933,clock,hands,a clock has hands that show the hour and minute.,partof,fillin
14934,clock,parts,a clock has parts that show the hour and minute.,partof,fillin
14935,clock,numbers,a clock has numbers that show the hour and minute.,partof,fillin
14936,clock,faces,a clock has faces that show the hour and minute.,partof,fillin
14937,clock,mechanisms,a clock has mechanisms that show the hour and minute.,partof,fillin
14938,clock,arms,a clock has arms that show the hour and minute.,partof,fillin
14939,clock,buttons,a clock has buttons that show the hour and minute.,partof,fillin
14940,clock,fingers,a clock has fingers that show the hour and minute.,partof,fillin
14941,clock,digits,a clock has digits that show the hour and minute.,partof,fillin
14942,clock,eyes,a clock has eyes that show the hour and minute.,partof,fillin
14943,clock,hands,a clock has hands that show the hour and minute,partof,fillin
14944,clock,parts,a clock has parts that show the hour and minute,partof,fillin
14945,clock,numbers,a clock has numbers that show the hour and minute,partof,fillin
14946,clock,faces,a clock has faces that show the hour and minute,partof,fillin
14947,clock,arms,a clock has arms that show the hour and minute,partof,fillin
14948,clock,units,a clock has units that show the hour and minute,partof,fillin
14949,clock,digits,a clock has digits that show the hour and minute,partof,fillin
14950,clock,elements,a clock has elements that show the hour and minute,partof,fillin
14951,clock,eyes,a clock has eyes that show the hour and minute,partof,fillin
14952,clock,movements,a clock has movements that show the hour and minute,partof,fillin
14953,clock,hands,the clock has three hands.,partof,fillin
14954,clock,faces,the clock has three faces.,partof,fillin
14955,clock,strikes,the clock has three strikes.,partof,fillin
14956,clock,arms,the clock has three arms.,partof,fillin
14957,clock,bells,the clock has three bells.,partof,fillin
14958,clock,parts,the clock has three parts.,partof,fillin
14959,clock,movements,the clock has three movements.,partof,fillin
14960,clock,circles,the clock has three circles.,partof,fillin
14961,clock,levels,the clock has three levels.,partof,fillin
14962,clock,voices,the clock has three voices.,partof,fillin
14963,clock,hands,the clock has three hands,partof,fillin
14964,clock,parts,the clock has three parts,partof,fillin
14965,clock,faces,the clock has three faces,partof,fillin
14966,clock,arms,the clock has three arms,partof,fillin
14967,clock,bells,the clock has three bells,partof,fillin
14968,clock,hours,the clock has three hours,partof,fillin
14969,clock,strikes,the clock has three strikes,partof,fillin
